"ORDER_ID","ORDER_DATE","MONTH_NAME","QUARTER_NAME","SHIP_DATE","SHIP_MODE","CUSTOMER_ID","REGION","PRODUCT_ID","SALES","QUANTITY","DISCOUNT","PROFIT","CASE_ID"
"798995","2024-03-12","Mar-24","Q12024","2024-03-15","Standard Class","138364089","West","10","285","10","0","-19","63413322"
"992563","2024-03-17","Mar-24","Q12024","2024-03-21","Standard Class","266877192","West","9","92","10","0","2","57704269"
"1074582","2024-02-06","Mar-24","Q12024","2024-02-10","First Class","260299882","South","6","226","10","0","-23","75446249"
"1148325","2024-02-25","Jan-24","Q12024","2024-03-01","First Class","957846387","West","4","414","9","0","19","69909483"
"1168808","2024-02-18","Jan-24","Q12024","2024-02-22","First Class","613970552","West","11","25","6","0","1","47849710"
"1530211","2024-02-10","Jan-24","Q12024","2024-02-18","First Class","119922410","South","11","491","10","0","-56","84966338"
"2774542","2024-01-30","Jan-24","Q12024","2024-02-08","Standard Class","817342999","East","19","353","10","0","-44","70726198"
"2804688","2024-02-06","Mar-24","Q12024","2024-02-11","First Class","483249402","East","16","413","8","0","-24","63190503"
"2959059","2024-01-29","Jan-24","Q12024","2024-02-04","First Class","811797284","East","3","209","7","0","-17","86900951"
"3218271","2024-02-18","Mar-24","Q12024","2024-02-21","Second Class","682317497","Central","7","468","6","0","-18","64340673"
"3352979","2024-03-08","Mar-24","Q12024","2024-03-12","First Class","487711318","West","3","149","8","0","13","76220726"
"3629672","2024-03-02","Mar-24","Q12024","2024-03-09","Second Class","138350219","West","15","108","8","0","-15","75162000"
"3703539","2024-02-22","Jan-24","Q12024","2024-02-22","First Class","778409050","East","2","437","9","0","-13","61286146"
"3757873","2024-02-18","Mar-24","Q12024","2024-02-23","Second Class","504400730","West","17","96","6","0","7","54646063"
"4397547","2024-02-11","Jan-24","Q12024","2024-02-17","First Class","712416367","West","3","345","5","0","19","54129487"
"4451250","2024-02-23","Jan-24","Q12024","2024-02-25","Standard Class","429579241","Central","14","68","3","0","19","61341866"
"4553938","2024-03-03","Jan-24","Q12024","2024-03-04","Second Class","759489520","Central","11","511","6","0","-60","36049815"
"4577939","2024-03-13","Mar-24","Q12024","2024-03-21","Second Class","675483533","West","11","495","10","0","-17","74687468"
"4817665","2024-03-01","Mar-24","Q12024","2024-03-01","Standard Class","736489181","South","9","233","8","0","-13","68004972"
"4895419","2024-02-26","Mar-24","Q12024","2024-03-06","Second Class","63042738","West","14","158","7","0","10","54843442"
