"RETURN_ID","ORDER_ID","RETURNED"
"28092","908729454","Yes"
"55856","698972896","Yes"
"337616","578550629","Yes"
"490461","546655815","Yes"
"999998","571290937","Yes"
"1120258","644279333","Yes"
"1144449","227527525","Yes"
"1835737","766663081","Yes"
"1866343","737964413","Yes"
"2036318","317225144","Yes"
"2061244","290889788","Yes"
"2213828","917020296","Yes"
"2450352","137378164","Yes"
"2694253","312599141","Yes"
"2934511","766294019","Yes"
"4165284","654827921","Yes"
"4195810","139408061","Yes"
"4333811","694086889","Yes"
"4516986","436170955","Yes"
"4690433","168567874","Yes"
"4808722","781171478","Yes"
"5207189","357387769","Yes"
"5218606","462709068","Yes"
"5250158","169788394","Yes"
"5644955","597904170","Yes"
"5798124","641330663","Yes"
"5984726","919260753","Yes"
"6468208","286246620","Yes"
"6558576","122290296","Yes"
"6949747","572106290","Yes"
"7137034","64191575","Yes"
"7437896","397544809","Yes"
"7465823","985732883","Yes"
"7515202","347633388","Yes"
"7677733","394607054","Yes"
"7685772","178119731","Yes"
"7704904","295308913","Yes"
"7862217","930108317","Yes"
"7932128","654806311","Yes"
"8233471","25183608","Yes"
"8590387","81049160","Yes"
"8699628","566667107","Yes"
"8904082","782736486","Yes"
"8953697","531340234","Yes"
"9010549","182589484","Yes"
"9200900","23884074","Yes"
"9652465","619605690","Yes"
"9883987","223406957","Yes"
"9938320","457720212","Yes"
"10158394","630611215","Yes"
"10337862","46668650","Yes"
"11242430","345190075","Yes"
"11354723","583414948","Yes"
"11750817","49572099","Yes"
"11988100","851991543","Yes"
"12268861","835568886","Yes"
"12473282","625879076","Yes"
"12768026","897486231","Yes"
"13093396","815407786","Yes"
"13131622","667047720","Yes"
"13166155","335721703","Yes"
"13175463","626161624","Yes"
"13253167","798229853","Yes"
"13374762","986911479","Yes"
"13675101","252847624","Yes"
"13686609","917926880","Yes"
"13778025","144371598","Yes"
"13841605","574325530","Yes"
"13877907","869205641","Yes"
"13953300","160682831","Yes"
"14211692","744487848","Yes"
"14355006","948267680","Yes"
"14418285","436368437","Yes"
"14501183","349043071","Yes"
"14731768","839913563","Yes"
"14933475","716907095","Yes"
"14941665","332104158","Yes"
"14957332","656986276","Yes"
"15024235","231054556","Yes"
"15128695","88672039","Yes"
"15286904","59233879","Yes"
"15299196","290702561","Yes"
"15410585","610904120","Yes"
"15421304","929663312","Yes"
"15747050","501135611","Yes"
"16531476","705018698","Yes"
"16590396","949693421","Yes"
"16725951","457156769","Yes"
"16978178","928971767","Yes"
"17158827","8465364","Yes"
"17173811","884054143","Yes"
"17216527","325765202","Yes"
"17231449","153510705","Yes"
"17339265","639210651","Yes"
"17464588","695528516","Yes"
"17573173","845549226","Yes"
"17808629","985650982","Yes"
"17900409","452072882","Yes"
"18287659","106879167","Yes"
"18881670","537081699","Yes"
"18911973","553882859","Yes"
"19190541","88922374","Yes"
"19251299","182118893","Yes"
"19294746","44783279","Yes"
"19697159","679696943","Yes"
"19799974","652705919","Yes"
"20052630","403659787","Yes"
"20084142","425283949","Yes"
"20223563","156115848","Yes"
"20638651","540126072","Yes"
"21199518","477607594","Yes"
"21388633","764404018","Yes"
"21441754","479646462","Yes"
"21976008","665261839","Yes"
"22328762","290995726","Yes"
"23095957","843968637","Yes"
"23261344","825832978","Yes"
"23315818","763118004","Yes"
"23601271","71694323","Yes"
"23806155","149436084","Yes"
"24372857","488309279","Yes"
"24698557","511443058","Yes"
"24794240","382923689","Yes"
"24977877","487177183","Yes"
"25600638","646239750","Yes"
"25776438","590415447","Yes"
"26995356","477780635","Yes"
"27021908","439515863","Yes"
"27207952","520571815","Yes"
"27508490","466639062","Yes"
"27608472","944346186","Yes"
"27625352","155006135","Yes"
"27742692","672877873","Yes"
"27995303","75919055","Yes"
"28174569","214191288","Yes"
"28291593","119597452","Yes"
"28624494","35354898","Yes"
"28743147","223125559","Yes"
"28764959","694685514","Yes"
"29129272","760845134","Yes"
"29635498","603495917","Yes"
"29829902","372844887","Yes"
"30331168","879474020","Yes"
"30754351","303891782","Yes"
"30760154","569643669","Yes"
"31139439","272556551","Yes"
"31419144","597827445","Yes"
"31467850","481175285","Yes"
"31638444","19216005","Yes"
"31986865","906143666","Yes"
"32094423","390981031","Yes"
"32260875","21570414","Yes"
"33153608","990862176","Yes"
"33214103","572755505","Yes"
"33491787","125360431","Yes"
"33911103","307602354","Yes"
"34027266","852041901","Yes"
"34031249","81316124","Yes"
"34228968","498125950","Yes"
"34467789","183265128","Yes"
"34641385","317721103","Yes"
"34795289","923107302","Yes"
"34797023","688794195","Yes"
"35056605","750514197","Yes"
"35493827","224401261","Yes"
"35658970","571185970","Yes"
"36112554","313753656","Yes"
"36534764","492695267","Yes"
"36585524","504829496","Yes"
"36702006","62152381","Yes"
"36713156","355109597","Yes"
"36745193","405639608","Yes"
"36814617","309840609","Yes"
"36821136","436461558","Yes"
"37099408","31633780","Yes"
"37189186","798538823","Yes"
"37454655","352176868","Yes"
"37977386","838153831","Yes"
"38549064","460476540","Yes"
"38660517","464093977","Yes"
"38824615","992855182","Yes"
"39114359","843544485","Yes"
"39336401","359326170","Yes"
"39521242","257048150","Yes"
"39748609","376127950","Yes"
"40814238","626796579","Yes"
"41013378","308247348","Yes"
"41037664","908149396","Yes"
"41415484","242290553","Yes"
"41514388","798115061","Yes"
"41804805","795668978","Yes"
"41833040","990424194","Yes"
"42976228","141619156","Yes"
"43128176","384903044","Yes"
"43148876","781705277","Yes"
"43239657","165865481","Yes"
"43345628","724840705","Yes"
"43419416","856042468","Yes"
"43426184","953814027","Yes"
"43646324","919385294","Yes"
"43677176","845089400","Yes"
"43736362","720384619","Yes"
"44649814","404104730","Yes"
"45388168","764093492","Yes"
"45450773","489713329","Yes"
"45616913","62008201","Yes"
"45972161","107361433","Yes"
"46049690","540867936","Yes"
"46209798","97793041","Yes"
"46527234","779175786","Yes"
"46660768","174007690","Yes"
"46717236","739470506","Yes"
"47065931","528351052","Yes"
"47111628","838296394","Yes"
"47261466","736346571","Yes"
"47269559","355600263","Yes"
"47408049","628714917","Yes"
"47979537","794356549","Yes"
"48436976","8801981","Yes"
"48730124","689647665","Yes"
"48765209","887519308","Yes"
"48810701","477722974","Yes"
"48841009","89573438","Yes"
"48956500","341187109","Yes"
"49020583","3757873","Yes"
"49200262","808158343","Yes"
"49332548","567454928","Yes"
"49367494","569243069","Yes"
"49402280","787727123","Yes"
"49583138","235155054","Yes"
"49633089","993956203","Yes"
"50093029","402700594","Yes"
"50155822","752172234","Yes"
"50205125","22523772","Yes"
"50477251","392491714","Yes"
"50573126","776583450","Yes"
"50701439","272453168","Yes"
"50836036","882496724","Yes"
"50850309","667915537","Yes"
"50900682","261050074","Yes"
"50905701","46292933","Yes"
"50907174","146025189","Yes"
"51315224","720518019","Yes"
"51350847","654439399","Yes"
